1|1|1|1|1|1,Hexagram for the Creative Heaven,䷀,"Hexagram 1 is named 乾 (qián), ""Force"". Other variations include ""the creative"", ""strong action"", ""the key"", and ""god"". Its inner (lower)trigramis☰(乾 qián) force = (天) heaven, and its outer (upper) trigram is the same."
0|0|0|0|0|0,Hexagram for the Receptive Earth,䷁,"Hexagram 2 is named 坤 (kūn), ""Field"". Other variations include ""the receptive"", ""acquiescence"", and ""the flow"". Its inner trigram is☷(坤 kūn) field = (地) earth, and its outer trigram is identical."
1|0|0|0|1|0,Hexagram for Difficulty at the Beginning,䷂,"Hexagram 3 is named 屯 (zhūn), ""Sprouting"". Other variations include ""difficulty at the beginning"", ""gathering support"", and ""hoarding"". Its inner trigram is☳(震 zhèn) shake = (雷) thunder, and its outer trigram is☵(坎 kǎn) gorge = (水) water."
0|1|0|0|0|1,Hexagram for Youthful Folly,䷃,"Hexagram 4 is named 蒙 (méng), ""Enveloping"". Other variations include ""youthful folly"", ""the young shoot"", and ""discovering"". Its inner trigram is☵(坎 kǎn) gorge = (水) water. Its outer trigram is☶(艮 gèn) bound = (山) mountain."
1|1|1|0|1|0,Hexagram for Waiting,䷄,"Hexagram 5 is named 需 (xū), ""Attending"". Other variations include ""waiting"", ""moistened"", and ""arriving"". Its inner trigram is☰(乾 qián) force = (天) heaven, and its outer trigram is☵(坎 kǎn) gorge = (水) water."
0|1|0|1|1|1,Hexagram for Conflict,䷅,"Hexagram 6 is named 訟 (sòng), ""Arguing"". Other variations include ""conflict"" and ""lawsuit"". Its inner trigram is☵(坎 kǎn) gorge = (水) water, and its outer trigram is☰(乾 qián) force = (天) heaven."
0|1|0|0|0|0,Hexagram for the Army,䷆,"Hexagram 7 is named 師 (shī), ""Leading"". Other variations include ""the army"" and ""the troops"". Its inner trigram is☵(坎 kǎn) gorge = (水) water, and its outer trigram is☷(坤 kūn) field = (地) earth."
0|0|0|0|1|0,Hexagram for Holding Together,䷇,"Hexagram 8 is named 比 (bǐ), ""Grouping"". Other variations include ""holding together"" and ""alliance"". Its inner trigram is☷(坤 kūn) field = (地) earth, and its outer trigram is☵(坎 kǎn) gorge = (水) water."
1|1|1|0|1|1,Hexagram for Small Taming,䷈,"Hexagram 9 is named 小畜 (xiǎo chù), ""Small Accumulating"". Other variations include ""the taming power of the small"" and ""small harvest"". Its inner trigram is☰(乾 qián) force = (天) heaven, and its outer trigram is☴(巽 xùn) ground = (水) wind."
1|1|0|1|1|1,Hexagram for Treading,䷉,"Hexagram 10 is named 履 (lǚ), ""Treading"". Other variations include ""treading (conduct)"" and ""continuing"". Its inner trigram is☱(兌 duì) open = (澤) swamp, and its outer trigram is☰(乾 qián) force = (天) heaven."
1|1|1|0|0|0,Hexagram for Peace,䷊,"Hexagram 11 is named 泰 (tài), ""Pervading"". Other variations include ""peace"" and ""greatness"". Its inner trigram is☰(乾 qián) force = (天) heaven, and its outer trigram is☷(坤 kūn) field = (地) earth."
0|0|0|1|1|1,Hexagram for Standstill,䷋,"Hexagram 12 is named 否 (pǐ), ""Obstruction"". Other variations include ""standstill (stagnation)"" and ""selfish persons"". Its inner trigram is☷(坤 kūn) field = (地) earth, and its outer trigram is☰(乾 qián) force = (天) heaven."
1|0|1|1|1|1,Hexagram for Fellowship,䷌,"Hexagram 13 is named 同人 (tóng rén), ""Concording People"". Other variations include ""fellowship with men"" and ""gathering men"". Its inner trigram is☲(離 lí) radiance = (火) fire, and its outer trigram is☰(乾 qián) force = (天) heaven."
1|1|1|1|0|1,Hexagram for Great Possession,䷍,"Hexagram 14 is named 大有 (dà yǒu), ""Great Possessing"". Other variations include ""possession in great measure"" and ""the great possession"". Its inner trigram is☰(乾 qián) force = (天) heaven, and its outer trigram is☲(離 lí) radiance = (火) fire."
0|0|1|0|0|0,Hexagram for Modesty,䷎,"Hexagram 15 is named 謙 (qiān), ""Humbling"". Other variations include ""modesty"". Its inner trigram is☶(艮 gèn) bound = (山) mountain and its outer trigram is☷(坤 kūn) field = (地) earth."
0|0|0|1|0|0,Hexagram for Enthusiasm,䷏,"Hexagram 16 is named 豫 (yù), ""Providing-For"". Other variations include ""enthusiasm"" and ""excess"". Its inner trigram is☷(坤 kūn) field = (地) earth, and its outer trigram is☳(震 zhèn) shake = (雷) thunder."
1|0|0|1|1|0,Hexagram for Following,䷐,"Hexagram 17 is named 隨 (suí), ""Following"". Its inner trigram is☳(震 zhèn) shake = (雷) thunder, and its outer trigram is☱(兌 duì) open = (澤) swamp."
